Owner,Name,Description
DataTypes::SampleEnum,ACCELERATION,The measurement of the rate of change of velocity.
DataTypes::SampleEnum,ACCUMULATED_TIME,The measurement of accumulated time for an activity or event.
DataTypes::EventEnum,ACTIVE_AXES,The set of axes currently associated with a {model:Path} or {model:Controller} {term:Structural Element}.
DataTypes::EventEnum,ACTUATOR_STATE,Represents the operational state of an apparatus for moving or controlling a mechanism or system.
DataTypes::EventEnum,ALARM,*DEPRECATED:* Replaced with {model:CONDITION} category data items in Version 1.1.0.
DataTypes::SampleEnum,AMPERAGE,The measurement of electrical current.
DataTypes::SampleEnum,ANGLE,The measurement of angular position.
DataTypes::SampleEnum,ANGULAR_ACCELERATION,The measurement rate of change of angular velocity.
DataTypes::SampleEnum,ANGULAR_VELOCITY,The measurement of the rate of change of angular position.
DataTypes::EventEnum,ASSET_CHANGED,The value of the {term:CDATA} for the event *MUST* be the {model:assetId} of the asset that has been added or changed. There will not be a separate message for new assets.
DataTypes::EventEnum,ASSET_REMOVED,The value of the {term:CDATA} for the event *MUST* be the {model:assetId} of the asset that has been removed. The asset will still be visible if requested with the {model:includeRemoved} parameter as described in the protocol section. When assets are removed they are not moved to the beginning of the most recently modified list. 
DataTypes::EventEnum,AVAILABILITY,Represents the {term:Agent}'s ability to communicate with the data source.
DataTypes::EventEnum,AXIS_COUPLING,"Describes the way the axes will be associated to each other. 
  
 This is used in conjunction with {model:COUPLED_AXES} to indicate the way they are interacting."
DataTypes::SampleEnum,AXIS_FEEDRATE,The measurement of the feedrate of a linear axis.
DataTypes::EventEnum,AXIS_FEEDRATE_OVERRIDE,The value of a signal or calculation issued to adjust the feedrate of an individual linear type axis.
DataTypes::EventEnum,AXIS_INTERLOCK,An indicator of the state of the axis lockout function when power has been removed and the axis is allowed to move freely.
DataTypes::EventEnum,AXIS_STATE,An indicator of the controlled state of a {model:Linear} or {model:Rotary} component representing an axis.
DataTypes::EventEnum,BLOCK,The line of code or command being executed by a {model:Controller} {term:Structural Element}.
DataTypes::EventEnum,BLOCK_COUNT,The total count of the number of blocks of program code that have been executed since execution started.
DataTypes::SampleEnum,CAPACITY_FLUID,The fluid capacity of an object or container.
DataTypes::SampleEnum,CAPACITY_SPATIAL,The geometric capacity of an object or container.
DataTypes::EventEnum,CHUCK_INTERLOCK,An indication of the state of an interlock function or control logic state intended to prevent the associated {model:CHUCK} component from being operated.
DataTypes::EventEnum,CHUCK_STATE,An indication of the operating state of a mechanism that holds a part or stock material during a manufacturing process. It may also represent a mechanism that holds any other mechanism in place within a piece of equipment.
DataTypes::SampleEnum,CLOCK_TIME,The value provided by a timing device at a specific point in time.
DataTypes::EventEnum,CLOSE_CHUCK,Service to close a chuck.
DataTypes::EventEnum,CLOSE_DOOR,Service to close a door.
DataTypes::EventEnum,CODE,*DEPRECATED* in Version 1.1.
DataTypes::ConditionEnum,COMMUNICATIONS,An indication that the piece of equipment has experienced a communications failure.
DataTypes::EventEnum,COMPOSITION_STATE,An indication of the operating condition of a mechanism represented by a {model:Composition} type element.
DataTypes::SampleEnum,CONCENTRATION,The measurement of the percentage of one component within a mixture of components
DataTypes::SampleEnum,CONDUCTIVITY,The measurement of the ability of a material to conduct electricity.
DataTypes::EventEnum,CONTROLLER_MODE,The current operating mode of the {model:Controller} component.
DataTypes::EventEnum,CONTROLLER_MODE_OVERRIDE,A setting or operator selection that changes the behavior of a piece of equipment.
DataTypes::EventEnum,COUPLED_AXES,Refers to the set of associated axes.
DataTypes::SampleEnum,CUTTING_SPEED, The speed difference (relative velocity) between the cutting mechanism and the surface of the workpiece it is operating on.
DataTypes::ConditionEnum,DATA_RANGE,An indication that the value of the data associated with a measured value or a calculation is outside of an expected range.
DataTypes::EventEnum,DATE_CODE,"The time and date code associated with a material or other physical item.
  
 {model:DATE_CODE} *MUST* be reported in ISO 8601 format."
DataTypes::SampleEnum,DENSITY,The volumetric mass of a material per unit volume of that material.
DataTypes::SampleEnum,DEPOSITION_ACCELERATION_VOLUMETRIC,The rate of change in spatial volume of material deposited in an additive manufacturing process.
DataTypes::SampleEnum,DEPOSITION_DENSITY,The density of the material deposited in an additive manufacturing process per unit of volume.
