Owner,Name,OwnedComment
UnitEnum,AMPERE,Amps
UnitEnum,CELSIUS,Degrees Celsius
UnitEnum,COUNT,A count of something.
UnitEnum,DECIBEL,Sound Level
UnitEnum,DEGREE,Angle in degrees
UnitEnum,DEGREE/SECOND,Angular degrees per second
UnitEnum,DEGREE/SECOND^2,Angular acceleration in degrees per second squared
UnitEnum,HERTZ,Frequency measured in cycles per second
UnitEnum,JOULE,A measurement of energy.
UnitEnum,KILOGRAM,Kilograms
UnitEnum,LITER,Measurement of volume of a fluid
UnitEnum,LITER/SECOND,Liters per second
UnitEnum,MICRO_RADIAN,Measurement of Tilt
UnitEnum,MILLIMETER,Millimeters
UnitEnum,MILLIMETER_3D,"A point in space identified by X, Y, and Z positions and represented by a space-delimited set of numbers each expressed in millimeters."
UnitEnum,MILLIMETER/REVOLUTION,Millimeters per revolution.
UnitEnum,MILLIMETER/SECOND,Millimeters per second
UnitEnum,MILLIMETER/SECOND^2,Acceleration in millimeters per second squared
UnitEnum,NEWTON,Force in Newtons
UnitEnum,NEWTON_METER,"Torque, a unit for force times distance."
UnitEnum,OHM,Measure of Electrical Resistance
UnitEnum,PASCAL,Pressure in Newtons per square meter
UnitEnum,PASCAL_SECOND,Measurement of Viscosity
UnitEnum,PERCENT,Percentage
UnitEnum,PH,A measure of the acidity or alkalinity of a solution.
UnitEnum,REVOLUTION/MINUTE,Revolutions per minute
UnitEnum,SECOND,A measurement of time.
UnitEnum,SIEMENS/METER,A measurement of Electrical Conductivity
UnitEnum,VOLT,Volts
UnitEnum,VOLT_AMPERE,"The measurement of the apparent power in an electrical circuit, equal to the product of root-mean-square (RMS) voltage and RMS current (commonly referred to as VA)."
UnitEnum,VOLT_AMPERE_REACTIVE,The measurement of reactive power in an AC electrical circuit (commonly referred to as VAR).
UnitEnum,WATT,Watts
UnitEnum,WATT_SECOND,"Measurement of electrical energy, equal to one Joule"
DataItemSubTypeEnum,ABSOLUTE,The position of a block of program code relative to the beginning of the control program.
DataItemSubTypeEnum,ACTION,"An indication of the operating state of a mechanism represented by a {model:Composition} type component.
 The operating state indicates whether the {model:Composition} element is activated or disabled. 
 The {term:Valid Data Value} *MUST* be {model:ACTIVE} or {model:INACTIVE}."
DataItemSubTypeEnum,ACTUAL,The measured value of the data item type given by a sensor or encoder.
DataItemSubTypeEnum,ALL,"The count of all the parts produced.  If the subtype is not given, this is the default."
DataItemSubTypeEnum,ALTERNATING,"The measurement of alternating voltage or current.   If not specified further in statistic, defaults to RMS voltage. "
DataItemSubTypeEnum,A_SCALE,A Scale weighting factor.   This is the default weighting factor if no factor is specified
DataItemSubTypeEnum,AUXILIARY,"When multiple locations on a piece of bar stock are referenced as the indication for the {model:END_OF_BAR}, the additional location(s) *MUST* be designated as {model:AUXILIARY} indication(s) for the {model:END_OF_BAR}.  "
DataItemSubTypeEnum,BAD,Indicates the count of incorrect parts produced.
DataItemSubTypeEnum,BRINELL,A scale to measure the resistance to deformation of a surface.
DataItemSubTypeEnum,B_SCALE,B Scale weighting factor
DataItemSubTypeEnum,COMMANDED,A value specified by the {model:Controller} type component.
DataItemSubTypeEnum,CONSUMED,The amount of bulk material consumed from an object or container during a manufacturing process.
DataItemSubTypeEnum,CONTROL,The state of the enabling signal or control logic that enables or disables the function or operation of the {term:Structural Element}.
DataItemSubTypeEnum,C_SCALE,C Scale weighting factor
DataItemSubTypeEnum,DELAY,A piece of equipment waiting for an event or an action to occur.
DataItemSubTypeEnum,DIRECT,The measurement of DC current or voltage.
DataItemSubTypeEnum,DRY_RUN,"A setting or operator selection used to execute a test mode to confirm the execution of machine functions. 
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}. 
 When {model:DRY_RUN} is {model:ON}, the equipment performs all of its normal functions, except no part or product is produced.  If the equipment has a spindle, spindle operation is suspended."
DataItemSubTypeEnum,D_SCALE,D Scale weighting factor
DataItemSubTypeEnum,EXPIRATION,The time and date code relating to the expiration or end of useful life for a material or other physical item.
DataItemSubTypeEnum,FIRST_USE,The time and date code relating the first use of a material or other physical item.
