Owner,Name,AttrType,Visibility,True,Value,Redefines
AssetModel::CuttingToolModel::Measurements::BodyDiameterMax,code,AssetModel::CuttingToolModel::CodeEnum,public,true,BDX,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::BodyLengthMax,code,AssetModel::CuttingToolModel::CodeEnum,public,true,LBX,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::DepthOfCutMax,code,AssetModel::CuttingToolModel::CodeEnum,public,true,APMX,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::CuttingDiameterMax,code,AssetModel::CuttingToolModel::CodeEnum,public,true,DC,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::FlangeDiameterMax,code,AssetModel::CuttingToolModel::CodeEnum,public,true,DF,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::OverallToolLength,code,AssetModel::CuttingToolModel::CodeEnum,public,true,OAL,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::ShankDiameter,code,AssetModel::CuttingToolModel::CodeEnum,public,true,DMM,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::ShankHeight,code,AssetModel::CuttingToolModel::CodeEnum,public,true,H,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::ShankLength,code,AssetModel::CuttingToolModel::CodeEnum,public,true,LS,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::UsableLengthMax,code,AssetModel::CuttingToolModel::CodeEnum,public,true,LUX,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::ProtrudingLength,code,AssetModel::CuttingToolModel::CodeEnum,public,true,LPR,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::Weight,code,AssetModel::CuttingToolModel::CodeEnum,public,true,WT,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::FunctionalLength,code,AssetModel::CuttingToolModel::CodeEnum,public,true,LF,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::CuttingReferencePoint,code,AssetModel::CuttingToolModel::CodeEnum,public,true,CRP,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::CuttingEdgeLength,code,AssetModel::CuttingToolModel::CodeEnum,public,true,L,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::DriveAngle,code,AssetModel::CuttingToolModel::CodeEnum,public,true,DRVA,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::FlangeDiameter,code,AssetModel::CuttingToolModel::CodeEnum,public,true,DF,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::FunctionalWidth,code,AssetModel::CuttingToolModel::CodeEnum,public,true,WF,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::IncribedCircleDiameter,code,AssetModel::CuttingToolModel::CodeEnum,public,true,IC,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::PointAngle,code,AssetModel::CuttingToolModel::CodeEnum,public,true,SIG,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::ToolCuttingEdgeAngle,code,AssetModel::CuttingToolModel::CodeEnum,public,true,KAPR,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::ToolLeadAngle,code,AssetModel::CuttingToolModel::CodeEnum,public,true,PSIR,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::ToolOrientation,code,AssetModel::CuttingToolModel::CodeEnum,public,true,N/A,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::WiperEdgeLength,code,AssetModel::CuttingToolModel::CodeEnum,public,true,BS,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::StepDiameterLength,code,AssetModel::CuttingToolModel::CodeEnum,public,true,SDLx,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::StepIncludedAngle,code,AssetModel::CuttingToolModel::CodeEnum,public,true,STAx,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::CuttingDiameter,code,AssetModel::CuttingToolModel::CodeEnum,public,true,DCx,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::CuttingHeight,code,AssetModel::CuttingToolModel::CodeEnum,public,true,HF,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::CornerRadius,code,AssetModel::CuttingToolModel::CodeEnum,public,true,RE,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::FunctionalLength,code,AssetModel::CuttingToolModel::CodeEnum,public,true,LFx,AssetModel::CuttingToolModel::Measurements::Measurement::code
AssetModel::CuttingToolModel::Measurements::ChamferFlatLength,code,AssetModel::CuttingToolModel::CodeEnum,public,true,BCH,AssetModel::CuttingToolModel::Measurements::Measurement::code
