Owner,Name,AttrType,Visibility,True,Value,Redefines
Observations::SampleTypes::Acceleration,units,DataTypes::UnitEnum,public,true,MILLIMETER/SECOND^2,Observations::Observation::units
Observations::SampleTypes::Acceleration,type,DataTypes::DataItemTypeEnum,public,true,ACCELERATION,Observations::Observation::type
Observations::SampleTypes::AccumulatedTime,units,DataTypes::UnitEnum,public,true,SECOND,Observations::Observation::units
Observations::SampleTypes::AccumulatedTime,type,DataTypes::DataItemTypeEnum,public,true,ACCUMULATED_TIME,Observations::Observation::type
Observations::EventTypes::ActiveAxes,type,DataTypes::DataItemTypeEnum,public,true,ACTIVE_AXES,Observations::Observation::type
Observations::EventTypes::ActuatorState,type,DataTypes::DataItemTypeEnum,public,true,ACTUATOR_STATE,Observations::Observation::type
Observations::EventTypes::ActuatorState,value,Observations::EventTypes::ActuatorStateEnum,public,false,,Observations::Observation::result
Observations::EventTypes::Alarm,type,DataTypes::DataItemTypeEnum,public,true,ALARM,Observations::Observation::type
Observations::SampleTypes::Amperage,units,DataTypes::UnitEnum,public,true,AMPERE,Observations::Observation::units
Observations::SampleTypes::Amperage,type,DataTypes::DataItemTypeEnum,public,true,AMPERAGE,Observations::Observation::type
Observations::SampleTypes::AlternatingAmperage,subType,DataTypes::DataItemSubTypeEnum,public,true,ALTERNATING,Observations::Observation::subType
Observations::SampleTypes::DirectAmperage,subType,DataTypes::DataItemSubTypeEnum,public,true,DIRECT,Observations::Observation::subType
Observations::SampleTypes::ActualAmperage,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::TargetAmperage,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::SampleTypes::Angle,units,DataTypes::UnitEnum,public,true,DEGREE,Observations::Observation::units
Observations::SampleTypes::Angle,type,DataTypes::DataItemTypeEnum,public,true,ANGLE,Observations::Observation::type
Observations::SampleTypes::CommandedAngle,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::ActualAngle,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::AngularAcceleration,units,DataTypes::UnitEnum,public,true,DEGREE/SECOND^2,Observations::Observation::units
Observations::SampleTypes::AngularAcceleration,type,DataTypes::DataItemTypeEnum,public,true,ANGULAR_ACCELERATION,Observations::Observation::type
Observations::SampleTypes::AngularVelocity,units,DataTypes::UnitEnum,public,true,DEGREE/SECOND,Observations::Observation::units
Observations::SampleTypes::AngularVelocity,type,DataTypes::DataItemTypeEnum,public,true,ANGULAR_VELOCITY,Observations::Observation::type
Observations::EventTypes::AssetChanged,type,DataTypes::DataItemTypeEnum,public,true,ASSET_CHANGED,Observations::Observation::type
Observations::EventTypes::AssetRemoved,type,DataTypes::DataItemTypeEnum,public,true,ASSET_REMOVED,Observations::Observation::type
Observations::EventTypes::Availability,type,DataTypes::DataItemTypeEnum,public,true,AVAILABILITY,Observations::Observation::type
Observations::EventTypes::Availability,value,Observations::EventTypes::AvailabilityEnum,public,false,,Observations::Observation::result
Observations::EventTypes::AxisCoupling,type,DataTypes::DataItemTypeEnum,public,true,AXIS_COUPLING,Observations::Observation::type
Observations::EventTypes::AxisCoupling,value,Observations::EventTypes::AxisCouplingEnum,public,false,,Observations::Observation::result
Observations::SampleTypes::AxisFeedrate,units,DataTypes::UnitEnum,public,true,MILLIMETER/SECOND,Observations::Observation::units
Observations::SampleTypes::AxisFeedrate,type,DataTypes::DataItemTypeEnum,public,true,AXIS_FEEDRATE,Observations::Observation::type
Observations::SampleTypes::ActualAxisFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedAxisFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::JogAxisFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,JOG,Observations::Observation::subType
Observations::SampleTypes::ProgrammedAxisFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::SampleTypes::RapidAxisFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,RAPID,Observations::Observation::subType
Observations::SampleTypes::OverrideAxisFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,OVERRIDE,Observations::Observation::subType
Observations::EventTypes::AxisFeedrateOverride,type,DataTypes::DataItemTypeEnum,public,true,AXIS_FEEDRATE_OVERRIDE,Observations::Observation::type
Observations::EventTypes::JogAxisFeedrateOverride,subType,DataTypes::DataItemSubTypeEnum,public,true,JOG,Observations::Observation::subType
Observations::EventTypes::ProgrammedAxisFeedrateOverride,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::EventTypes::RapidAxisFeedrateOverride,subType,DataTypes::DataItemSubTypeEnum,public,true,RAPID,Observations::Observation::subType
Observations::EventTypes::AxisInterlock,type,DataTypes::DataItemTypeEnum,public,true,AXIS_INTERLOCK,Observations::Observation::type
Observations::EventTypes::AxisInterlock,value,Observations::EventTypes::ActuatorStateEnum,public,false,,Observations::Observation::result
Observations::EventTypes::AxisState,type,DataTypes::DataItemTypeEnum,public,true,AXIS_STATE,Observations::Observation::type
Observations::EventTypes::AxisState,value,Observations::EventTypes::AxisStateEnum,public,false,,Observations::Observation::result
Observations::EventTypes::Block,type,DataTypes::DataItemTypeEnum,public,true,BLOCK,Observations::Observation::type
