Owner,Name,OwnedComment
Observations::SampleTypes,Acceleration,The measurement of the rate of change of velocity.
Observations::SampleTypes,AccumulatedTime,The measurement of accumulated time for an activity or event.
Observations::EventTypes,ActiveAxes,The set of axes currently associated with a {model:Path} or {model:Controller} {term:Structural Element}.
Observations::EventTypes,ActuatorState,Represents the operational state of an apparatus for moving or controlling a mechanism or system.
Observations::EventTypes,Alarm,*DEPRECATED:* Replaced with {model:CONDITION} category data items in Version 1.1.0.
Observations::SampleTypes,Amperage,The measurement of electrical current.
Observations::SampleTypes,AlternatingAmperage,"The measurement of alternating voltage or current.   If not specified further in statistic, defaults to RMS voltage. "
Observations::SampleTypes,DirectAmperage,The measurement of DC current or voltage.
Observations::SampleTypes,ActualAmperage,The measured value of the data item type given by a sensor or encoder.
Observations::SampleTypes,TargetAmperage,The desired measure or count for a data item value.
Observations::SampleTypes,Angle,The measurement of angular position.
Observations::SampleTypes,CommandedAngle,A value specified by the {model:Controller} type component.
Observations::SampleTypes,ActualAngle,The measured value of the data item type given by a sensor or encoder.
Observations::SampleTypes,AngularAcceleration,The measurement rate of change of angular velocity.
Observations::SampleTypes,AngularVelocity,The measurement of the rate of change of angular position.
Observations::EventTypes,AssetChanged,The value of the {term:CDATA} for the event *MUST* be the {model:assetId} of the asset that has been added or changed. There will not be a separate message for new assets.
Observations::EventTypes,AssetRemoved,The value of the {term:CDATA} for the event *MUST* be the {model:assetId} of the asset that has been removed. The asset will still be visible if requested with the {model:includeRemoved} parameter as described in the protocol section. When assets are removed they are not moved to the beginning of the most recently modified list. 
Observations::EventTypes,Availability,Represents the {term:Agent}'s ability to communicate with the data source.
Observations::EventTypes,AxisCoupling,"Describes the way the axes will be associated to each other. 
  
 This is used in conjunction with {model:COUPLED_AXES} to indicate the way they are interacting."
Observations::SampleTypes,AxisFeedrate,The measurement of the feedrate of a linear axis.
Observations::SampleTypes,ActualAxisFeedrate,The measured value of the data item type given by a sensor or encoder.
Observations::SampleTypes,CommandedAxisFeedrate,A value specified by the {model:Controller} type component.
Observations::SampleTypes,JogAxisFeedrate,"The feedrate specified by a logic or motion program, by a pre-set value, or set by a switch as the feedrate for the {model:Axes}. "
Observations::SampleTypes,ProgrammedAxisFeedrate,The value of a signal or calculation specified by a logic or motion program or set by a switch.
Observations::SampleTypes,RapidAxisFeedrate,The value of a signal or calculation issued to adjust the feedrate of a component or composition that is operating in a rapid positioning mode.
Observations::SampleTypes,OverrideAxisFeedrate,The operators overridden value.
Observations::EventTypes,AxisFeedrateOverride,The value of a signal or calculation issued to adjust the feedrate of an individual linear type axis.
Observations::EventTypes,JogAxisFeedrateOverride,"The feedrate specified by a logic or motion program, by a pre-set value, or set by a switch as the feedrate for the {model:Axes}. "
Observations::EventTypes,ProgrammedAxisFeedrateOverride,The value of a signal or calculation specified by a logic or motion program or set by a switch.
Observations::EventTypes,RapidAxisFeedrateOverride,The value of a signal or calculation issued to adjust the feedrate of a component or composition that is operating in a rapid positioning mode.
Observations::EventTypes,AxisInterlock,An indicator of the state of the axis lockout function when power has been removed and the axis is allowed to move freely.
Observations::EventTypes,AxisState,An indicator of the controlled state of a {model:Linear} or {model:Rotary} component representing an axis.
Observations::EventTypes,Block,The line of code or command being executed by a {model:Controller} {term:Structural Element}.
Observations::EventTypes,BlockCount,The total count of the number of blocks of program code that have been executed since execution started.
Observations::SampleTypes,CapacityFluid,The fluid capacity of an object or container.
Observations::SampleTypes,CapacitySpatial,The geometric capacity of an object or container.
Observations::EventTypes,ChuckInterlock,An indication of the state of an interlock function or control logic state intended to prevent the associated {model:CHUCK} component from being operated.
Observations::EventTypes,ManualUnclampChuckInterlock,"An indication of the state of an operator controlled interlock that can inhibit the ability to initiate an unclamp action of an electronically controlled chuck.
 The {term:Valid Data Value} *MUST* be {model:ACTIVE} or {model:INACTIVE}. 
 When {model:MANUAL_UNCLAMP} is {model:ACTIVE}, it is expected that a chuck cannot be unclamped until {model:MANUAL_UNCLAMP} is set to {model:INACTIVE}. "
Observations::EventTypes,ChuckState,An indication of the operating state of a mechanism that holds a part or stock material during a manufacturing process. It may also represent a mechanism that holds any other mechanism in place within a piece of equipment.
Observations::SampleTypes,ClockTime,The value provided by a timing device at a specific point in time.
Observations::EventTypes,CloseChuck,Service to close a chuck.
Observations::EventTypes,CloseDoor,Service to close a door.
Observations::EventTypes,Code,*DEPRECATED* in Version 1.1.
Observations::ConditionTypes,Communications,An indication that the piece of equipment has experienced a communications failure.
Observations::EventTypes,CompositionState,An indication of the operating condition of a mechanism represented by a {model:Composition} type element.
Observations::EventTypes,ActionCompositionState,"An indication of the operating state of a mechanism represented by a {model:Composition} type component.
 The operating state indicates whether the {model:Composition} element is activated or disabled. 
 The {term:Valid Data Value} *MUST* be {model:ACTIVE} or {model:INACTIVE}."
Observations::EventTypes,LateralCompositionState,"An indication of the position of a mechanism that may move in a lateral direction.   The mechanism is represented by a {model:Composition} type component. 
 The position information indicates whether the {model:Composition} element is positioned to the right, to the left, or is in transition.  
 The {term:Valid Data Value} *MUST* be {model:RIGHT}, {model:LEFT}, or {model:TRANSITIONING}."
Observations::EventTypes,MotionCompositionState,"An indication of the open or closed state of a mechanism.   The mechanism is represented by a {model:Composition} type component. 
 The operating state indicates whether the state of the {model:Composition} element is open, closed, or unlatched.   
 The {term:Valid Data Value} *MUST* be {model:OPEN}, {model:UNLATCHED}, or {model:CLOSED}."
Observations::EventTypes,SwitchedCompositionState,"An indication of the activation state of a mechanism represented by a {model:Composition} type component.
 The activation state indicates whether the {model:Composition} element is activated or not.
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}."
Observations::EventTypes,VerticalCompositionState,"An indication of the position of a mechanism that may move in a vertical direction. The mechanism is represented by a {model:Composition} type component. 
 The position information indicates whether the {model:Composition} element is positioned to the top, to the bottom, or is in transition.  
 The {term:Valid Data Value} *MUST* be {model:UP}, {model:DOWN}, or {model:TRANSITIONING}."
Observations::SampleTypes,Concentration,The measurement of the percentage of one component within a mixture of components
Observations::SampleTypes,Conductivity,The measurement of the ability of a material to conduct electricity.
Observations::EventTypes,ControllerMode,The current operating mode of the {model:Controller} component.
Observations::EventTypes,ControllerModeOverride,A setting or operator selection that changes the behavior of a piece of equipment.
Observations::EventTypes,DryRunControllerModeOverride,"A setting or operator selection used to execute a test mode to confirm the execution of machine functions. 
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}. 
 When {model:DRY_RUN} is {model:ON}, the equipment performs all of its normal functions, except no part or product is produced.  If the equipment has a spindle, spindle operation is suspended."
Observations::EventTypes,SingleBlockControllerModeOverride,"A setting or operator selection that changes the behavior of the controller on a piece of equipment. 
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}.
 Program execution is paused after each {model:BLOCK} of code is executed when {model:SINGLE_BLOCK} is {model:ON}.   
 When {model:SINGLE_BLOCK} is {model:ON}, {model:EXECUTION} *MUST* change to {model:INTERRUPTED} after completion of each {model:BLOCK} of code. "
Observations::EventTypes,MachineAxisLockControllerModeOverride,"A setting or operator selection that changes the behavior of the controller on a piece of equipment. 
 The {term:Valid Data Value} *MUST* be {model:ON} or {model:OFF}. 
 When {model:MACHINE_AXIS_LOCK} is {model:ON}, program execution continues normally, but no equipment motion occurs "
