Owner,Name,OwnerComment
Observations::Events::ActuatorStateEnum,ACTIVE,The value of the {term:Data Entity} that is engaging.
Observations::Events::ActuatorStateEnum,INACTIVE,The value of the {term:Data Entity} that is not engaging.
Observations::Events::AvailabilityEnum,AVAILABLE,The value or status of an XML element when it is available.
Observations::Events::AvailabilityEnum,UNAVAILABLE,The value of the {term:Data Entity} either when the data is not received or the entity is incapable of providing data.
Observations::Events::AxisCouplingEnum,TANDEM,Elements are physically connected to each other and operate as a single unit.
Observations::Events::AxisCouplingEnum,SYNCHRONOUS,Physical or logical parts which are not physically connected to each other but are operating together.
Observations::Events::AxisCouplingEnum,MASTER,It provides information or state values that influences the operation of other {model:DataItem} of similar type.
Observations::Events::AxisCouplingEnum,SLAVE,The axis is a slave to the {model:COUPLED_AXES}
Observations::Events::AxisStateEnum,HOME,The component at its home position.
Observations::Events::AxisStateEnum,TRAVEL,The component is in motion.
Observations::Events::AxisStateEnum,PARKED,The component has been moved to a fixed position.
Observations::Events::AxisStateEnum,STOPPED,The component is stopped.
Observations::Events::ChuckStateEnum,OPEN,A component is open to the point of a positive confirmation.
Observations::Events::ChuckStateEnum,CLOSED,A component is closed to the point of a positive confirmation.
Observations::Events::ChuckStateEnum,UNLATCHED,An intermediate position.
Observations::Events::ControllerModeEnum,AUTOMATIC,The {model:Controller} is configured to automatically execute a program.
Observations::Events::ControllerModeEnum,MANUAL,Operations based on the instructions received from an external source.
Observations::Events::ControllerModeEnum,MANUAL_DATA_INPUT,The operator can enter a series of operations for the controller to perform.
Observations::Events::ControllerModeEnum,SEMI_AUTOMATIC,The controller  executes a single set of instructions from an active program and then stops until given a command to execute the next set of instructions.
Observations::Events::ControllerModeEnum,EDIT,The controller is currently functioning as a programming device and is not capable of executing an active program.
Observations::Events::ControllerModeOverrideEnum,ON,On state or value.
Observations::Events::ControllerModeOverrideEnum,OFF,Off state or value.
Observations::Events::EmergencyStopEnum,ARMED,"The emergency stop circuit is complete and the piece of equipment, component, or composition element is allowed to operate. "
Observations::Events::EmergencyStopEnum,TRIGGERED,"The operation of the piece of equipment, component, or composition element is inhibited."
Observations::Events::EndOfBarEnum,YES,The {model:END_OF_BAR} has been reached.
Observations::Events::EndOfBarEnum,NO,The {model:END_OF_BAR} has not been reached.
Observations::Events::ExecutionEnum,READY,A component is ready to engage.
Observations::Events::ExecutionEnum,ACTIVE,The value of the {term:Data Entity} that is engaging.
Observations::Events::ExecutionEnum,INTERRUPTED,The action of a {model:Component} has been suspended due to an external signal.
Observations::Events::ExecutionEnum,FEED_HOLD,Motion of a {model:Component} has been commanded to stop at its current position.
Observations::Events::ExecutionEnum,STOPPED,The component is stopped.
Observations::Events::ExecutionEnum,OPTIONAL_STOP,The controllers program has been intentionally stopped
Observations::Events::ExecutionEnum,PROGRAM_STOPPED,The execution of the {model:Controller}'s program has been stopped by a command from within the program.
Observations::Events::ExecutionEnum,PROGRAM_COMPLETED,The execution of the controllers program has been stopped by a command from within the program.
Observations::Events::FunctionalModeEnum,PRODUCTION,A {term:Structural Element} is currently producing product.
Observations::Events::FunctionalModeEnum,SETUP,A {term:Structural Element} is being prepared or modified to begin production of product.
Observations::Events::FunctionalModeEnum,TEARDOWN,"Typically, a {term:Structural Element} has completed the production of a product and is being modified or returned to a neutral state such that it may then be prepared to begin production of a different product."
Observations::Events::FunctionalModeEnum,MAINTENANCE,Action related to maintenance on the piece of equipment.
Observations::Events::FunctionalModeEnum,PROCESS_DEVELOPMENT,A {term:Structural Element} is being used to prove-out a new process.
Observations::Events::InterfaceStateEnum,ENABLED,A component is currently operational and performing as expected.
Observations::Events::InterfaceStateEnum,DISABLED,A component is currently not operational.
Observations::Events::PathModeEnum,INDEPENDENT,The path is operating independently and without the influence of another path.
Observations::Events::PathModeEnum,MASTER,It provides information or state values that influences the operation of other {model:DataItem} of similar type.
Observations::Events::PathModeEnum,SYNCHRONOUS,Physical or logical parts which are not physically connected to each other but are operating together.
Observations::Events::PathModeEnum,MIRROR,The axes associated with the path are mirroring the motion of the {model:MASTER} path.
Observations::Events::ProgramEditEnum,ACTIVE,The value of the {term:Data Entity} that is engaging.
Observations::Events::ProgramEditEnum,READY,A component is ready to engage.
Observations::Events::ProgramEditEnum,NOT_READY,A component is not ready to engage.
Observations::Events::RotaryModeEnum,SPINDLE,The axis is functioning as a spindle.
Observations::Events::RotaryModeEnum,INDEX,The axis is configured to index.
Observations::Events::RotaryModeEnum,CONTOUR,The position of the axis is being interpolated.
