Generalization,Name
Observations::Sample,Observations::Samples::Acceleration
Observations::Sample,Observations::Samples::AccumulatedTime
Observations::Event,Observations::Events::ActiveAxes
Observations::Event,Observations::Events::ActuatorState
Observations::Event,Observations::Events::Alarm
Observations::Sample,Observations::Samples::Amperage
Observations::Samples::Amperage,Observations::Samples::AlternatingAmperage
Observations::Samples::Amperage,Observations::Samples::DirectAmperage
Observations::Samples::Amperage,Observations::Samples::ActualAmperage
Observations::Samples::Amperage,Observations::Samples::TargetAmperage
Observations::Sample,Observations::Samples::Angle
Observations::Samples::Angle,Observations::Samples::CommandedAngle
Observations::Samples::Angle,Observations::Samples::ActualAngle
Observations::Sample,Observations::Samples::AngularAcceleration
Observations::Sample,Observations::Samples::AngularVelocity
Observations::Event,Observations::Events::AssetChanged
Observations::Event,Observations::Events::AssetRemoved
Observations::Event,Observations::Events::Availability
Observations::Event,Observations::Events::AxisCoupling
Observations::Sample,Observations::Samples::AxisFeedrate
Observations::Samples::AxisFeedrate,Observations::Samples::ActualAxisFeedrate
Observations::Samples::AxisFeedrate,Observations::Samples::CommandedAxisFeedrate
Observations::Samples::AxisFeedrate,Observations::Samples::JogAxisFeedrate
Observations::Samples::AxisFeedrate,Observations::Samples::ProgrammedAxisFeedrate
Observations::Samples::AxisFeedrate,Observations::Samples::RapidAxisFeedrate
Observations::Samples::AxisFeedrate,Observations::Samples::OverrideAxisFeedrate
Observations::Event,Observations::Events::AxisFeedrateOverride
Observations::Events::AxisFeedrateOverride,Observations::Events::JogAxisFeedrateOverride
Observations::Events::AxisFeedrateOverride,Observations::Events::ProgrammedAxisFeedrateOverride
Observations::Events::AxisFeedrateOverride,Observations::Events::RapidAxisFeedrateOverride
Observations::Event,Observations::Events::AxisInterlock
Observations::Event,Observations::Events::AxisState
Observations::Event,Observations::Events::Block
Observations::Event,Observations::Events::BlockCount
Observations::Sample,Observations::Samples::CapacityFluid
Observations::Sample,Observations::Samples::CapacitySpatial
Observations::Event,Observations::Events::ChuckInterlock
Observations::Events::ChuckInterlock,Observations::Events::ManualUnclampChuckInterlock
Observations::Event,Observations::Events::ChuckState
Observations::Sample,Observations::Samples::ClockTime
Observations::Event,Observations::Events::CloseChuck
Observations::Event,Observations::Events::CloseDoor
Observations::Event,Observations::Events::Code
Observations::Condition,Observations::Conditions::Communications
Observations::Event,Observations::Events::CompositionState
Observations::Events::CompositionState,Observations::Events::ActionCompositionState
Observations::Events::CompositionState,Observations::Events::LateralCompositionState
Observations::Events::CompositionState,Observations::Events::MotionCompositionState
Observations::Events::CompositionState,Observations::Events::SwitchedCompositionState
Observations::Events::CompositionState,Observations::Events::VerticalCompositionState
Observations::Sample,Observations::Samples::Concentration
Observations::Sample,Observations::Samples::Conductivity
Observations::Event,Observations::Events::ControllerMode
Observations::Event,Observations::Events::ControllerModeOverride
Observations::Events::ControllerModeOverride,Observations::Events::DryRunControllerModeOverride
Observations::Events::ControllerModeOverride,Observations::Events::SingleBlockControllerModeOverride
Observations::Events::ControllerModeOverride,Observations::Events::MachineAxisLockControllerModeOverride
Observations::Events::ControllerModeOverride,Observations::Events::OptionalStopControllerModeOverride
Observations::Events::ControllerModeOverride,Observations::Events::ToolChangeStopControllerModeOverride
Observations::Event,Observations::Events::CoupledAxes
Observations::Sample,Observations::Samples::CuttingSpeed
Observations::Samples::CuttingSpeed,Observations::Samples::ActualCuttingSpeed
Observations::Samples::CuttingSpeed,Observations::Samples::CommandedCuttingSpeed
Observations::Samples::CuttingSpeed,Observations::Samples::ProgrammedCuttingSpeed
Observations::Condition,Observations::Conditions::DataRange
Observations::Event,Observations::Events::DateCode
Observations::Events::DateCode,Observations::Events::ManufactureDateCode
Observations::Events::DateCode,Observations::Events::ExpirationDateCode
Observations::Events::DateCode,Observations::Events::FirstUseDateCode
Observations::Sample,Observations::Samples::Density
Observations::Sample,Observations::Samples::DepositionAccelerationVolumetric
Observations::Samples::DepositionAccelerationVolumetric,Observations::Samples::ActualDepositionAccelerationVolumetric
Observations::Samples::DepositionAccelerationVolumetric,Observations::Samples::CommandedDepositionAccelerationVolumetric
Observations::Sample,Observations::Samples::DepositionDensity
Observations::Samples::DepositionDensity,Observations::Samples::ActualDepositionDensity
Observations::Samples::DepositionDensity,Observations::Samples::CommandedDepositionDensity
Observations::Sample,Observations::Samples::DepositionMass
Observations::Samples::DepositionMass,Observations::Samples::ActualDepositionMass
Observations::Samples::DepositionMass,Observations::Samples::CommandedDepositionMass
Observations::Sample,Observations::Samples::DepositionRateVolumetric
Observations::Samples::DepositionRateVolumetric,Observations::Samples::ActualDepositionRateVolumetric
Observations::Samples::DepositionRateVolumetric,Observations::Samples::CommandedDepositionRateVolumetric
Observations::Sample,Observations::Samples::DepositionVolume
Observations::Samples::DepositionVolume,Observations::Samples::ActualDepositionVolume
Observations::Samples::DepositionVolume,Observations::Samples::CommandedDepositionVolume
Observations::Event,Observations::Events::DeviceUuid
Observations::Event,Observations::Events::Direction
Observations::Events::Direction,Observations::Events::RotaryDirection
Observations::Events::Direction,Observations::Events::LinearDirection
Observations::Sample,Observations::Samples::Displacement
Observations::Event,Observations::Events::DoorState
Observations::Sample,Observations::Samples::ElectricalEnergy
Observations::Event,Observations::Events::EmergencyStop
Observations::Event,Observations::Events::EndOfBar
Observations::Events::EndOfBar,Observations::Events::PrimaryEndOfBar
Observations::Events::EndOfBar,Observations::Events::AuxiliaryEndOfBar
Observations::Event,Observations::Events::EquipmentMode
Observations::Events::EquipmentMode,Observations::Events::LoadedEquipmentMode
Observations::Events::EquipmentMode,Observations::Events::WorkingEquipmentMode
Observations::Events::EquipmentMode,Observations::Events::OperatingEquipmentMode
Observations::Events::EquipmentMode,Observations::Events::PoweredEquipmentMode
Observations::Events::EquipmentMode,Observations::Events::DelayEquipmentMode
Observations::Sample,Observations::Samples::EquipmentTimer
Observations::Samples::EquipmentTimer,Observations::Samples::LoadedEquipmentTimer
Observations::Samples::EquipmentTimer,Observations::Samples::WorkingEquipmentTimer
Observations::Samples::EquipmentTimer,Observations::Samples::OperatingEquipmentTimer
Observations::Samples::EquipmentTimer,Observations::Samples::PoweredEquipmentTimer
Observations::Samples::EquipmentTimer,Observations::Samples::DelayEquipmentTimer
Observations::Event,Observations::Events::Execution
Observations::Sample,Observations::Samples::FillLevel
Observations::Sample,Observations::Samples::Flow
Observations::Sample,Observations::Samples::Frequency
Observations::Event,Observations::Events::FunctionalMode
Observations::Sample,Observations::Samples::GlobalPosition
Observations::Event,Observations::Events::Hardness
Observations::Events::Hardness,Observations::Events::RockwellHardness
Observations::Events::Hardness,Observations::Events::VickersHardness
Observations::Events::Hardness,Observations::Events::ShoreHardness
Observations::Events::Hardness,Observations::Events::BrinellHardness
Observations::Events::Hardness,Observations::Events::LeebHardness
Observations::Events::Hardness,Observations::Events::MohsHardness
Observations::Condition,Observations::Conditions::Hardware
Observations::Event,Observations::Events::InterfaceState
Observations::Sample,Observations::Samples::Length
Observations::Samples::Length,Observations::Samples::StandardLength
Observations::Samples::Length,Observations::Samples::RemainingLength
Observations::Samples::Length,Observations::Samples::UseableLength
Observations::Sample,Observations::Samples::Level
Observations::Event,Observations::Events::Line
Observations::Events::Line,Observations::Events::MaximumLine
Observations::Events::Line,Observations::Events::MinimumLine
Observations::Sample,Observations::Samples::LinearForce
Observations::Event,Observations::Events::LineLabel
Observations::Event,Observations::Events::LineNumber
Observations::Events::LineNumber,Observations::Events::AbsoluteLineNumber
Observations::Events::LineNumber,Observations::Events::IncrementalLineNumber
Observations::Sample,Observations::Samples::Load
Observations::Condition,Observations::Conditions::LogicProgram
Observations::Sample,Observations::Samples::Mass
Observations::Event,Observations::Events::Material
Observations::Event,Observations::Events::MaterialChange
Observations::Event,Observations::Events::MaterialFeed
Observations::Event,Observations::Events::MaterialLayer
Observations::Events::MaterialLayer,Observations::Events::ActualMaterialLayer
Observations::Events::MaterialLayer,Observations::Events::TargetMaterialLayer
Observations::Event,Observations::Events::MaterialLoad
Observations::Event,Observations::Events::MaterialRetract
Observations::Event,Observations::Events::MaterialUnload
Observations::Event,Observations::Events::Message
Observations::Condition,Observations::Conditions::MotionProgram
Observations::Event,Observations::Events::OpenChuck
Observations::Event,Observations::Events::OpenDoor
Observations::Event,Observations::Events::OperatorId
Observations::Event,Observations::Events::PalletId
Observations::Event,Observations::Events::PartChange
Observations::Event,Observations::Events::PartCount
Observations::Events::PartCount,Observations::Events::AllPartCount
Observations::Events::PartCount,Observations::Events::GoodPartCount
Observations::Events::PartCount,Observations::Events::BadPartCount
Observations::Events::PartCount,Observations::Events::TargetPartCount
Observations::Events::PartCount,Observations::Events::RemainingPartCount
Observations::Event,Observations::Events::PartDetect
Observations::Event,Observations::Events::PartId
Observations::Event,Observations::Events::PartNumber
Observations::Sample,Observations::Samples::PathFeedrate
Observations::Samples::PathFeedrate,Observations::Samples::ActualPathFeedrate
